X,Y,Z,Q1,Q2,Q3,Q4,Q5,Q6
1.3266,-57.1001,-7.04517,-0.471199,20.9702,16.0162,-9.29604,6.49439,-3.50967
1.26057,-57.2017,-7.00574,-0.447639,20.9235,16.0162,-9.44253,6.49439,-3.58292
1.26072,-57.2526,-6.98632,-0.447639,20.9001,16.0162,-9.44253,6.42115,-3.50967
1.26072,-57.2526,-6.98632,-0.447639,20.9001,16.0162,-9.58902,6.42115,-3.50967
1.26032,-57.2676,-7.03855,-0.447639,20.9001,15.9929,-9.66227,6.49439,-3.50967
1.26062,-57.3692,-6.99977,-0.447639,20.8534,15.9929,-9.73551,6.42115,-3.50967
1.26077,-57.4201,-6.98041,-0.447639,20.83,15.9929,-9.73551,6.3479,-3.43643
1.1947,-57.5218,-6.94125,-0.424079,20.7832,15.9929,-9.882,6.3479,-3.50967
1.1286,-57.6236,-6.9022,-0.400519,20.7365,15.9929,-9.95525,6.27466,-3.50967
0.996063,-57.7253,-6.86284,-0.353399,20.6897,15.9929,-10.0285,6.27466,-3.50967
0.796878,-57.893,-6.8564,-0.28272,20.6196,15.9695,-10.0285,6.12817,-3.50967
0.59782,-58.1627,-6.81224,-0.21204,20.5027,15.9462,-10.1017,6.05492,-3.50967
0.265769,-58.4325,-6.76857,-0.0942398,20.3858,15.9228,-10.1017,5.98168,-3.50967
-0.0664458,-58.7685,-6.75954,0.02356,20.2455,15.8761,-10.175,5.98168,-3.50967
-0.398741,-59.1557,-6.73327,0.14136,20.0819,15.8294,-10.175,5.90843,-3.50967
-0.930751,-59.6455,-6.67273,0.329839,19.8715,15.7828,-10.175,5.83519,-3.43643
-1.39635,-60.2018,-6.64908,0.494759,19.6377,15.7127,-10.0285,5.76194,-3.50967
-1.99616,-60.8467,-6.54206,0.706799,19.3572,15.666,-9.882,5.76194,-3.43643
-2.46251,-61.4558,-6.50836,0.871719,19.1,15.596,-9.73551,5.83519,-3.50967
-3.32803,-62.3521,-6.50342,1.178,18.7259,15.4792,-9.44253,5.90843,-3.50967
-4.05956,-63.1465,-6.53955,1.43716,18.3986,15.3625,-9.14955,5.90843,-3.50967
-4.79072,-63.9417,-6.58325,1.69632,18.0714,15.2458,-8.85657,5.98168,-3.43643
-5.72139,-64.9592,-6.62778,2.02616,17.6505,15.1057,-8.49034,5.98168,-3.50967
-6.7157,-65.9922,-6.73991,2.37956,17.2297,14.9422,-8.27061,5.98168,-3.43643
-7.57669,-66.9082,-6.83801,2.68584,16.8557,14.8022,-8.05087,6.12817,-3.50967
-8.63331,-68.0613,-7.00038,3.06279,16.3881,14.6154,-7.83114,6.27466,-3.65616
-9.61952,-69.1109,-7.20438,3.41619,15.9673,14.4286,-7.6114,6.49439,-3.80265
-10.8035,-70.2659,-7.4058,3.84027,15.4997,14.2418,-7.24518,6.71413,-3.94914
-11.9844,-71.422,-7.62479,4.26435,15.0322,14.0551,-7.02544,6.86062,-4.24212
-13.2983,-72.566,-7.81964,4.73555,14.5646,13.8916,-6.65921,7.08035,-4.46186
-14.6761,-73.7639,-8.02687,5.23031,14.0737,13.7282,-6.21974,7.30009,-4.82808
-16.1214,-74.9504,-8.20969,5.74863,13.5827,13.5881,-5.56054,7.44658,-5.04782
-17.828,-76.1914,-8.43204,6.36119,13.0684,13.448,-4.97457,7.66632,-5.41405
-19.3404,-77.1966,-8.60134,6.90307,12.6476,13.3546,-4.24212,7.9593,-5.56054
-20.8434,-78.2155,-8.84442,7.44495,12.2268,13.2379,-3.58292,8.10579,-5.78027
-22.5464,-79.223,-9.08401,8.05751,11.806,13.1445,-2.99696,8.32552,-6.07325
-24.5103,-80.3383,-9.36774,8.76431,11.3384,13.0511,-2.2645,8.6185,-6.43948
